ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
baby cereal toddler,1 pouch,110.0,39.0,18.4,2.29,0.96,22.0,1.92,2.0,1.0,9.6,0.3
baby barley cereal dry toddler,1 tablespoon,3.8,643.0,69.4,48.21,6.6,115.0,13.2,33.0,0.0,58.3,7.1
baby cereal dry fruit multigrain toddler,Quantity not specified,15.0,761.0,80.47,28.56,6.43,96.0,6.53,32.0,1.0,55.7,0.0
baby cereal fruit multigrain readytoeat toddler,1 pouch,110.0,26.0,19.24,1.14,0.68,16.0,1.46,2.0,1.0,9.6,0.0
baby cereal dry multigrain toddler,Quantity not specified,15.0,800.0,80.06,30.0,6.67,95.0,6.67,33.0,0.0,58.3,0.0
baby cereal multigrain readytoeat toddler,1 jar / tub,110.0,37.0,15.0,1.56,0.89,17.0,1.87,2.0,0.0,2.3,0.0
baby cereal dry fruit oatmeal toddler,1 tablespoon,3.8,1103.0,74.22,60.95,6.13,110.0,10.64,20.0,1.0,55.7,12.1
baby cereal fruit oatmeal readytoeat toddler,1 pouch,110.0,39.0,18.4,2.29,0.96,22.0,1.92,2.0,1.0,9.6,0.3
baby cereal dry oatmeal toddler,Quantity not specified,15.0,1160.0,73.48,64.1,6.36,110.0,10.99,21.0,0.0,58.3,12.7
baby cereal oatmeal readytoeat toddler,1 pouch,110.0,55.0,13.77,3.24,1.3,26.0,2.54,2.0,0.0,2.3,0.5
baby cereal dry fruit rice toddler,Quantity not specified,15.0,818.0,83.4,50.42,2.17,41.0,6.51,31.0,1.0,55.7,8.1
baby cereal fruit readytoeat rice toddler,1 pouch,110.0,25.0,19.98,1.54,0.27,8.0,1.12,2.0,1.0,9.6,0.2
baby cereal dry rice toddler,Quantity not specified,15.0,860.0,83.14,53.01,2.19,37.0,6.65,32.0,0.0,58.3,8.5
baby cereal readytoeat rice toddler,1 pouch,110.0,35.0,16.09,2.16,0.3,5.0,1.38,2.0,0.0,2.3,0.3
baby chicken toddler,1 tablespoon,15.0,64.0,0.1,1.4,7.9,13.0,13.7,49.0,6.0,1.7,0.3
baby cookie toddler,Quantity not specified,7.0,690.0,69.79,11.52,11.24,56.0,9.88,280.0,17.0,8.0,0.2
baby cracker toddler,1 cracker,1.0,0.0,83.21,0.0,0.87,47.0,12.5,313.0,0.0,0.0,0.0
baby crunchies toddler,Quantity not specified,7.0,342.0,69.14,14.45,19.24,48.0,3.2,250.0,20.0,5.0,0.0
baby food toddler,Quantity not specified,110.0,23.0,9.08,0.62,2.15,14.0,4.9,27.0,80.0,12.4,0.2
baby fruit meat toddler,Quantity not specified,110.0,10.0,16.44,0.48,0.99,19.0,2.26,6.0,4.0,25.6,0.0
baby fruit stage toddler vegetable,1 jar,110.0,12.0,13.69,0.35,0.23,15.0,0.98,14.0,96.0,20.0,0.0
baby fruit stage toddler vegetable,1 pouch,110.0,12.0,13.69,0.35,0.23,15.0,0.98,14.0,96.0,20.0,0.0
baby fruit grain toddler vegetable,1 jar,110.0,23.0,15.31,0.79,0.48,20.0,1.48,16.0,114.0,17.5,0.0
baby fruit toddler vegetable yogurt,1 tub,110.0,57.0,11.29,0.23,1.84,13.0,2.1,26.0,90.0,11.0,0.5
baby fruit toddler,1 tablespoon,15.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
baby fruit meat toddler vegetable,Quantity not specified,110.0,26.0,14.14,0.86,1.06,19.0,2.63,19.0,103.0,16.0,0.0
baby fruit grain toddler,1 jar,110.0,6.0,17.96,0.4,0.41,19.0,1.07,2.0,4.0,28.3,0.0
baby fruit toddler yogurt,1 pouch,110.0,51.0,13.36,0.17,1.83,14.0,1.87,17.0,21.0,18.1,0.5
baby bean green stage toddler,1 pouch,90.0,65.0,5.8,1.08,0.1,22.0,1.2,5.0,24.0,8.4,0.0
baby bean green stage toddler,1 jar,110.0,65.0,5.8,1.08,0.1,22.0,1.2,5.0,24.0,8.4,0.0
baby ham toddler,Quantity not specified,70.0,6.0,3.7,1.03,3.8,13.0,11.3,44.0,2.0,2.1,0.4
baby juice toddler,Quantity not specified,124.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
apple baby juice toddler,1 fl oz,31.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
baby fruit juice toddler vegetable,Quantity not specified,124.0,15.0,11.4,0.3,0.1,7.0,0.3,5.0,154.0,34.1,0.0
baby blend fruit juice toddler yogurt,Quantity not specified,124.0,41.0,12.7,0.22,1.48,13.0,1.56,14.0,17.0,21.2,0.4
baby grape juice toddler,Quantity not specified,124.0,12.0,15.38,0.3,0.0,10.0,0.0,10.0,4.0,33.8,0.0
baby fruit juice mix toddler,Quantity not specified,124.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
baby juice pear toddler,Quantity not specified,124.0,12.0,11.86,0.0,0.0,8.0,0.0,8.0,0.0,33.8,0.0
