ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
cheese crust fruit medium pizza,"1 large pizza (13-15"" diameter)",1098.0,165.0,30.81,2.16,8.45,23.0,9.96,469.0,60.0,7.4,0.0
cheese crust fruit pizza thick,1 French bread,167.0,159.0,30.89,2.19,9.3,22.0,9.57,475.0,61.0,6.7,0.0
cheese crust fruit pizza thin,"1 piece, small pizza",71.0,158.0,30.01,2.06,8.06,22.0,9.51,447.0,58.0,9.2,0.0
cheese crust freeze pizza thin vegetable,"1 frozen small pizza (8-10"" diameter)",369.0,159.0,26.51,2.04,10.81,21.0,9.24,393.0,59.0,5.1,0.0
cheese crust fast food medium pizza restaurant vegetable,"1 personal size pizza (5-7"" diameter)",191.0,170.0,30.71,2.26,8.69,23.0,10.31,484.0,63.0,4.8,0.0
cheese crust fast food pizza restaurant thick vegetable,1 surface inch,7.7,161.0,30.43,2.24,9.39,22.0,9.74,480.0,63.0,4.8,0.0
cheese crust fast food pizza restaurant thin vegetable,Quantity not specified,200.0,164.0,29.86,2.18,8.37,22.0,9.96,465.0,61.0,5.9,0.0
cheese crust extra pizza thick,1/2 bagel,98.0,203.0,31.83,2.37,11.0,23.0,11.41,547.0,75.0,1.1,0.0
cheese crust extra pizza thin,"1 piece, small pizza",63.0,216.0,31.71,2.35,10.29,24.0,12.08,549.0,77.0,1.3,0.0
cheese crust pizza thick,"1 piece, extra-large pizza",129.0,23.0,38.28,3.02,12.26,18.0,7.58,514.0,9.0,6.2,0.1
cheese crust pizza thin,1 surface inch,3.9,26.0,31.0,2.75,13.69,18.0,7.46,551.0,12.0,8.4,0.2
crust lunch meat medium pepperoni pizza school,1 surface inch,5.8,203.0,31.41,2.15,8.45,38.0,12.94,445.0,74.0,0.5,0.0
crust lunch meat pepperoni pizza school thick,1 French bread,143.0,168.0,30.58,2.21,9.07,23.0,13.26,433.0,60.0,0.4,0.0
crust lunch meat pepperoni pizza school thin,"1 piece, NFS",142.0,238.0,32.24,2.09,7.83,52.0,12.63,457.0,89.0,0.6,0.0
crust meat pepperoni pizza stuff,"1 piece, large pizza",164.0,216.0,27.28,1.97,13.05,22.0,12.81,630.0,108.0,2.8,0.1
crust glutenfree meat pizza thick,"1 piece, small pizza",96.0,200.0,26.09,1.73,15.23,16.0,9.48,568.0,41.0,0.2,0.2
crust glutenfree meat pizza thin,1 surface inch,6.5,213.0,21.88,1.54,17.36,17.0,10.58,594.0,50.0,0.3,0.3
crust meat pizza thick wheat whole,"1 piece, small pizza",96.0,181.0,28.13,2.51,13.98,52.0,12.51,628.0,41.0,0.2,0.2
crust meat pizza thin wheat whole,"1 piece, NFS",124.0,198.0,23.58,2.19,16.35,48.0,13.05,641.0,50.0,0.3,0.3
crust lunch medium pepperoni pizza school,1 surface inch,5.8,178.0,29.77,2.64,9.22,46.0,13.56,484.0,59.0,0.1,0.0
chip plantain,1 oz,28.35,9.0,63.84,0.97,29.59,71.0,2.28,202.0,69.0,32.1,0.0
butter cook margarine plantain,1 cup,170.0,4.0,30.88,0.53,2.53,35.0,1.27,133.0,74.0,15.1,0.0
cook oil plantain,Quantity not specified,85.0,3.0,30.87,0.54,3.24,35.0,1.26,116.0,52.0,15.1,0.0
add cook fat fat n plantain type,Quantity not specified,85.0,3.0,30.88,0.54,2.88,35.0,1.27,125.0,63.0,15.1,0.0
add cook fat plantain,1 cup,200.0,3.0,31.8,0.55,0.35,36.0,1.3,120.0,53.0,15.6,0.0
plantain,1 whole,180.0,3.0,31.89,0.55,0.35,36.0,1.3,4.0,56.0,18.4,0.0
can plum,1 fruit,75.0,5.0,13.54,0.13,0.23,5.0,0.52,1.0,11.0,5.7,0.0
plum,Quantity not specified,75.0,6.0,11.42,0.17,0.28,7.0,0.7,0.0,17.0,9.5,0.0
pocky,Quantity not specified,35.0,50.0,51.08,0.9,22.5,36.0,10.0,213.0,1.0,0.0,0.0
cook green poke,Quantity not specified,75.0,52.0,3.01,1.16,2.93,14.0,2.24,138.0,432.0,79.4,0.0
polish sausage,1 piece,75.0,42.0,5.03,0.99,29.68,16.0,12.45,1062.0,9.0,14.7,0.9
beverage juice juice light pomegranate,Quantity not specified,240.0,7.0,6.56,0.05,0.14,4.0,0.08,6.0,0.0,0.0,0.0
juice pomegranate,1 fl oz (no ice),31.0,11.0,13.13,0.1,0.29,7.0,0.15,9.0,0.0,0.1,0.0
pomegranate,1 cup,175.0,10.0,18.7,0.3,1.17,12.0,1.67,3.0,0.0,10.2,0.0
cake popcorn,1 caramel cake,15.0,9.0,80.1,1.87,3.1,159.0,9.7,288.0,4.0,0.0,0.0
chip flavor popcorn,1 large single serving bag,85.0,148.0,74.18,1.48,11.19,90.0,10.19,586.0,4.0,0.2,0.0
chip plain popcorn,1 chip,1.0,148.0,74.18,1.48,11.19,90.0,10.19,586.0,4.0,0.2,0.0
chip flavor popcorn sweet,1 medium single serving bag,57.0,127.0,74.59,1.28,13.51,77.0,8.75,243.0,3.0,0.2,0.0
popcorn,1 large single serving bag,85.0,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0
add airpopped butter popcorn,"1 cup, unpopped, yields",135.0,7.0,77.47,3.18,4.52,143.0,12.89,162.0,10.0,0.0,0.0
add airpopped butter popcorn,"1 cup, popped",11.0,9.0,65.75,2.7,15.29,122.0,11.02,227.0,127.0,0.0,0.3
caramel coat popcorn,1 small single serving bag,28.0,43.0,78.47,1.73,12.7,35.0,3.77,512.0,2.0,0.0,0.0
caramel coat nut popcorn,Quantity not specified,42.0,66.0,80.06,3.88,7.74,79.0,6.35,483.0,4.0,0.0,0.0
chocolate coat popcorn,1 kernel,0.6,51.0,76.37,2.93,12.79,81.0,5.34,493.0,2.0,0.0,0.0
microwave popcorn,1 regular microwave bag,85.0,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0
butter flavor microwave popcorn,1 kernel,0.2,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0
cheese flavor microwave popcorn,1 snack/mini microwave bag,43.0,6.0,54.77,2.25,30.44,101.0,9.1,916.0,7.0,0.0,0.0
flavor light microwave popcorn,Quantity not specified,28.0,8.0,71.18,2.92,10.0,132.0,11.84,1030.0,9.0,0.0,0.0
kettle microwave popcorn,1 kernel,0.2,6.0,58.01,2.31,27.5,104.0,9.35,601.0,7.0,0.0,0.0
low microwave popcorn sodium,1 kernel,0.2,10.0,57.64,2.76,27.88,107.0,8.93,310.0,8.0,0.3,0.0
microwave plain popcorn,1 regular microwave bag,85.0,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0
light microwave plain popcorn,1 regular microwave bag,85.0,7.0,71.68,2.94,10.07,133.0,11.92,766.0,9.0,0.0,0.0
add butter movie popcorn theater,1 small order,88.0,8.0,39.87,1.95,48.7,74.0,6.18,762.0,5.0,0.2,0.0
add butter movie popcorn theater,1 large order,238.0,8.0,31.65,1.55,58.78,59.0,4.96,756.0,174.0,0.2,0.0
add butter oil pop popcorn,"1 oz, unpopped, yields",25.0,10.0,57.87,2.77,27.99,108.0,8.96,157.0,8.0,0.3,0.0
add butter oil pop popcorn,Quantity not specified,35.0,12.0,49.13,2.35,35.19,92.0,7.69,223.0,126.0,0.3,0.3
popcorn readytoeat,Quantity not specified,35.0,6.0,53.38,2.19,32.53,99.0,8.88,764.0,7.0,0.0,0.0
butter flavor popcorn readytoeat,1 cup,14.0,6.0,53.38,2.19,32.53,99.0,8.88,764.0,7.0,0.0,0.0
cheese flavor popcorn readytoeat,1 kernel,0.2,113.0,51.6,2.24,33.2,91.0,9.3,889.0,8.0,0.5,0.0
flavor light popcorn readytoeat,1 kernel,0.2,7.0,67.78,2.78,14.85,125.0,11.28,766.0,9.0,0.0,0.0
kettle popcorn readytoeat,1 small single serving bag,28.0,4.0,61.01,1.36,30.22,61.0,5.48,495.0,4.0,0.0,0.0
low popcorn readytoeat sodium,1 large single serving bag,85.0,6.0,61.73,2.53,23.44,114.0,10.27,313.0,8.0,0.0,0.0
plain popcorn readytoeat,1 medium single serving bag,57.0,6.0,61.24,2.51,23.26,113.0,10.19,616.0,8.0,0.0,0.0
light plain popcorn readytoeat,"1 single serving bag, NFS",57.0,7.0,68.08,2.79,14.92,126.0,11.33,600.0,9.0,0.0,0.0
popover,Quantity not specified,31.0,123.0,35.28,2.81,9.2,24.0,11.05,284.0,138.0,0.0,1.7
dress poppy seed,Quantity not specified,29.0,59.0,23.73,0.25,33.33,9.0,0.92,933.0,51.0,0.3,0.1
popsicle,1 fl oz,30.0,0.0,19.23,0.54,0.24,1.0,0.0,7.0,0.0,0.7,0.0
popsicle,1 single stick,50.0,0.0,19.23,0.54,0.24,1.0,0.0,7.0,0.0,0.7,0.0
add popsicle sugar,1 fl oz,30.0,0.0,5.92,0.67,0.0,1.0,0.0,10.0,0.0,10.4,0.0
ball mushroom porcupine sauce,Quantity not specified,132.0,18.0,10.71,1.35,7.76,12.0,10.34,601.0,2.0,0.5,0.1
ball porcupine sauce tomatobased,Quantity not specified,132.0,18.0,13.39,1.48,6.21,15.0,10.36,501.0,7.0,4.4,0.0
bean pork,1 cup,260.0,39.0,21.57,1.4,0.89,30.0,4.52,391.0,1.0,0.0,0.0
beef pork sausage,Quantity not specified,60.0,22.0,2.4,1.38,27.98,18.0,15.92,840.0,23.0,9.6,0.8
onion pork sauce soybased,1 cup,256.0,24.0,5.43,0.66,9.14,19.0,11.06,245.0,3.0,3.4,0.2
pork rice sauce tomatobased,1 cup,244.0,13.0,16.78,1.13,5.0,16.0,6.42,311.0,7.0,2.3,0.1
broccoli carrot darkgreen exclude leafy pork potato sauce tomatobased vegetable,1 cup,249.0,18.0,6.44,0.88,7.14,21.0,7.81,305.0,15.0,4.6,0.2
broccoli carrot dark exclude green leafy pork potato sauce soybased vegetable,Quantity not specified,163.0,23.0,4.34,0.74,9.37,20.0,11.4,251.0,9.0,13.4,0.2
broccoli carrot darkgreen exclude leafy pork potato sauce vegetable,Quantity not specified,121.0,17.0,5.52,0.6,7.03,19.0,10.07,319.0,7.0,1.8,0.2
andor broccoli carrot darkgreen include leafy pork potato sauce vegetable,1 cup,162.0,24.0,3.14,0.67,7.27,16.0,11.2,317.0,216.0,10.4,0.3
andor broccoli carrot darkgreen include leafy pork potato sauce soybased vegetable,1 cup,217.0,29.0,4.65,0.74,9.03,20.0,11.02,255.0,136.0,15.0,0.2
andor broccoli carrot darkgreen include leafy pork potato sauce tomatobased vegetable,Quantity not specified,187.0,21.0,4.48,0.88,7.13,17.0,7.76,304.0,149.0,9.9,0.2
hawaiian pork style vegetable,1 cup,252.0,26.0,6.97,0.63,3.64,19.0,7.43,202.0,85.0,3.7,0.2
pork sauce soybased watercress,1 cup,162.0,24.0,3.35,0.82,12.68,21.0,14.88,341.0,4.0,2.6,0.3
bacon cook cure fresh n pork smoke,1 medium slice (yield after cooking),8.0,12.0,1.9,1.12,35.8,34.0,37.41,1757.0,11.0,0.0,0.4
bacon cook cure fresh n pork reduce smoke sodium,Guideline amount on regular sandwich,16.0,11.0,1.43,1.44,41.78,33.0,37.04,1030.0,11.0,0.0,1.0
bacon cook cure pork smoke,Guideline amount on regular sandwich,16.0,11.0,1.7,0.95,35.09,31.0,33.92,1684.0,11.0,0.0,0.4
bacon cook cure pork reduce smoke sodium,Guideline amount on regular sandwich,16.0,11.0,1.43,1.44,41.78,33.0,37.04,1030.0,11.0,0.0,1.0
chop chow mein noodle pork suey,Quantity not specified,220.0,20.0,11.17,1.35,6.38,16.0,10.41,325.0,8.0,4.4,0.2
chop chow mein noodle pork suey,1 cup,220.0,23.0,3.85,0.64,4.3,15.0,10.34,250.0,9.0,5.0,0.2
egg foo pork yung,1 patty,86.0,35.0,4.78,1.21,8.25,16.0,13.29,325.0,83.0,1.9,1.3
hash pork,1 cup,190.0,20.0,1.96,0.9,13.66,17.0,12.94,486.0,6.0,2.7,1.2
jerky pork,Quantity not specified,42.0,39.0,9.73,2.45,24.73,32.0,35.0,1810.0,3.0,0.0,1.7
ham pork sauce soybased,Quantity not specified,183.0,24.0,3.35,0.82,12.68,21.0,14.88,341.0,4.0,2.6,0.3
pork sandwich,Quantity not specified,115.0,112.0,25.45,2.04,5.47,26.0,17.73,403.0,0.0,0.0,0.2
cheese pork sandwich,Quantity not specified,135.0,233.0,22.32,1.8,8.99,27.0,18.14,496.0,41.0,0.0,0.7
pork sausage,1 cocktail or miniature link,10.0,9.0,1.42,1.2,27.25,16.0,18.53,814.0,28.0,0.0,1.4
fat pork reduce sausage,1 piece,75.0,19.0,0.15,1.91,20.32,22.0,20.94,698.0,28.0,0.0,1.4
pork reduce sausage sodium,1 patty,35.0,0.0,13.25,1.2,11.13,40.0,19.93,415.0,0.0,0.0,0.4
exclude kabob pork potato shish vegetable,1 shishkabob,202.0,19.0,5.06,0.66,5.17,20.0,13.87,216.0,11.0,15.3,0.3
pork rind skin,Quantity not specified,30.0,30.0,0.0,0.88,31.3,11.0,61.3,1818.0,12.0,0.5,0.0
chili pork tomato,1 cup,236.0,15.0,2.68,0.58,3.99,18.0,11.64,118.0,21.0,16.7,0.3
pork,1 cubic inch,17.0,10.0,0.0,0.79,8.67,26.0,27.14,348.0,0.0,0.0,0.7
belly pork,1 oz yields,20.0,55.0,0.0,1.08,32.24,20.0,26.58,448.0,10.0,0.0,1.6
bone pork,1 neckbone,45.0,20.0,0.0,1.1,13.78,24.0,26.15,364.0,2.0,0.1,0.9
carnitas pork,1 oz yields,20.0,26.0,0.0,1.72,18.33,23.0,24.57,440.0,2.0,0.0,1.2
chop eat fat n pork,"1 slice, any size",30.0,7.0,0.0,0.61,7.55,27.0,27.5,354.0,0.0,0.0,0.6
chop coat eat fat n pork,1 thick,180.0,25.0,7.2,1.02,9.18,28.0,25.54,385.0,0.0,0.0,0.5
chop coat eat fat lean pork,1 cup,135.0,26.0,7.16,1.02,10.58,28.0,25.06,409.0,1.0,0.0,0.5
chop coat eat lean pork,1 thin,90.0,24.0,7.16,1.02,7.74,28.0,25.99,413.0,0.0,0.0,0.5
chop eat fat lean pork,1 cup,135.0,8.0,0.01,0.61,9.17,26.0,26.97,351.0,1.0,0.0,0.6
chop eat lean pork,"1 slice, any size",30.0,6.0,0.0,0.6,5.94,27.0,28.03,356.0,0.0,0.0,0.6
chop pork stuff,"1 chop, any size",180.0,15.0,7.82,0.73,9.04,22.0,18.37,414.0,28.0,0.3,0.4
crackling pork,Quantity not specified,90.0,28.0,0.0,0.75,41.74,10.0,45.03,1289.0,16.0,0.4,0.5
ear pork,1 item,85.0,20.0,0.0,1.1,13.78,24.0,26.15,364.0,2.0,0.1,0.9
grind pork,Quantity not specified,85.0,20.0,0.0,1.15,21.22,22.0,26.92,395.0,0.0,0.0,0.5
ham hock pork,1 ham hock,85.0,13.0,1.09,0.71,22.79,16.0,14.64,1040.0,16.0,0.0,1.0
foot pig pork,Quantity not specified,85.0,0.0,0.0,0.97,15.92,5.0,21.77,380.0,0.0,0.0,0.0
foot pickle pig pork,Quantity not specified,85.0,32.0,0.01,0.31,10.02,11.0,11.63,946.0,11.0,0.0,0.4
broccoli carrot darkgreen exclude gravy leafy pork potato vegetable,1 cup,252.0,13.0,12.37,0.41,6.43,17.0,5.03,301.0,3.0,4.0,0.1
broccoli carrot darkgreen exclude leafy pork potato sauce vegetable,1 cup,162.0,14.0,14.94,0.52,5.44,22.0,6.59,308.0,4.0,5.4,0.1
broccoli carrot darkgreen exclude leafy pork potato sauce tomatobased vegetable,1 cup,252.0,14.0,12.28,0.63,6.64,20.0,5.12,301.0,9.0,5.8,0.1
andor broccoli carrot darkgreen gravy include leafy pork potato vegetable,Quantity not specified,189.0,15.0,11.22,0.41,6.84,15.0,4.98,306.0,79.0,7.0,0.1
andor broccoli carrot darkgreen include leafy pork potato sauce vegetable,1 cup,162.0,16.0,13.44,0.52,5.43,20.0,6.55,316.0,107.0,9.5,0.1
andor broccoli carrot darkgreen include leafy pork potato sauce tomatobased vegetable,Quantity not specified,189.0,17.0,11.24,0.64,7.06,19.0,5.03,308.0,80.0,12.3,0.1
pork rib,"1 rib (yield after cooking, bone removed)",35.0,42.0,12.13,0.83,15.12,16.0,16.22,678.0,7.0,0.2,0.8
broccoli carrot darkgreen exclude leafy pork rice sauce soybased vegetable,1 cup,217.0,21.0,7.75,0.81,8.15,19.0,10.25,217.0,8.0,11.6,0.2
broccoli carrot darkgreen exclude leafy pork rice sauce tomatobased vegetable,1 cup,249.0,15.0,16.08,1.03,5.07,17.0,5.64,304.0,9.0,2.6,0.1
andor broccoli carrot darkgreen include leafy pork rice sauce soybased vegetable,1 cup,217.0,27.0,7.9,0.81,7.89,19.0,9.96,222.0,118.0,13.0,0.2
andor broccoli carrot darkgreen include leafy pork rice sauce tomatobased vegetable,1 cup,249.0,17.0,14.96,1.03,5.07,15.0,5.61,310.0,85.0,5.7,0.1
pork roast,1 cup,135.0,7.0,0.0,0.64,7.49,25.0,26.63,353.0,0.0,0.0,0.4
pork roll,"1 slice, any size",30.0,0.0,4.49,0.63,28.39,14.0,13.07,1377.0,0.0,0.0,0.6
eat fat n pork steak,"1 steak, any size",120.0,26.0,0.0,1.78,15.08,22.0,25.93,317.0,1.0,0.0,1.1
coat pork steak,1 cup,135.0,41.0,7.2,2.05,15.8,24.0,24.16,352.0,1.0,0.0,1.0
eat fat lean pork steak,"1 steak, any size",120.0,26.0,0.01,1.73,17.36,22.0,25.15,316.0,1.0,0.0,1.2
eat lean pork steak,"1 steak, any size",120.0,25.0,0.0,1.83,12.8,23.0,26.71,318.0,0.0,0.0,1.1
pork tenderloin,Quantity not specified,60.0,6.0,0.09,1.09,3.38,28.0,24.65,339.0,0.0,0.0,0.2
andor broccoli carrot darkgreen include leafy pork potato sauce soybase tofu vegetable,Quantity not specified,163.0,49.0,4.75,0.76,7.77,20.0,7.0,238.0,131.0,14.4,0.1
broccoli carrot darkgreen exclude leafy pork potato sauce soybased tofu vegetable,Quantity not specified,163.0,44.0,4.45,0.76,8.05,20.0,7.21,232.0,8.0,12.9,0.1
beef pie pot,"1 slice, any size",210.0,41.0,23.95,1.71,15.37,16.0,8.92,374.0,121.0,1.5,0.3
chicken pie pot,1 cup,200.0,39.0,23.95,1.37,13.54,18.0,9.24,375.0,123.0,1.5,0.3
meat pie pot,"1 slice, any size",210.0,41.0,27.96,1.88,12.15,19.0,5.44,360.0,120.0,1.8,0.2
chip potato,1 chip,2.0,21.0,53.83,1.28,33.98,63.0,6.39,527.0,0.0,21.6,0.0
bake chip flavor potato,1 100 calorie package,18.0,125.0,71.04,0.8,18.11,43.0,4.97,726.0,0.0,0.0,0.0
bake chip plain potato,Quantity not specified,28.0,125.0,71.4,0.8,18.2,43.0,5.0,536.0,0.0,0.0,0.0
barbecue chip flavor potato,1 small single serving bag,28.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
cheese chip flavor potato,1 cup,25.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip lightly potato salt,1 medium single serving bag,57.0,24.0,53.43,1.43,35.32,62.0,6.71,264.0,0.0,27.2,0.0
chip flavor potato,1 medium single serving bag,57.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip plain potato,1 large single serving bag,85.0,21.0,53.83,1.28,33.98,63.0,6.39,527.0,0.0,21.6,0.0
chip pop potato,1 large single serving bag,85.0,125.0,71.4,0.8,18.2,43.0,5.0,536.0,0.0,0.0,0.0
chip flavor pop potato,1 small single serving bag,28.0,125.0,71.04,0.8,18.11,43.0,4.97,726.0,0.0,0.0,0.0
chip plain pop potato,1 medium single serving bag,57.0,125.0,71.4,0.8,18.2,43.0,5.0,536.0,0.0,0.0,0.0
chip fat potato reduce,1 small single serving bag,28.0,21.0,67.13,1.34,20.59,88.0,7.03,391.0,0.0,25.4,0.0
chip flavor potato restructure,1 100 calorie package,18.0,17.0,55.05,0.8,35.07,40.0,4.59,757.0,0.0,1.2,0.0
chip lightly potato restructure salt,1 100 calorie package,18.0,24.0,53.43,1.43,35.32,62.0,6.71,264.0,0.0,27.2,0.0
chip multigrain potato restructure,1 1-inch stack,28.0,26.0,65.34,0.85,24.74,40.0,5.3,544.0,0.0,0.7,0.0
chip plain potato restructure,1 snack size tub/can,20.0,17.0,55.21,0.8,35.17,40.0,4.61,643.0,0.0,1.2,0.0
chip fat lightly potato reduce restructure salt,1 1-inch stack,28.0,29.0,64.76,1.11,26.14,45.0,4.56,450.0,0.0,12.0,0.0
barbecue chip flavor potato ruffle,1 100 calorie package,18.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
cheese chip flavor potato ruffle,Quantity not specified,28.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip flavor potato ruffle,1 cup,32.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip plain potato ruffle,1 small single serving bag,28.0,21.0,53.83,1.28,33.98,63.0,6.39,527.0,0.0,21.6,0.0
chip cream flavor onion potato ruffle sour,1 100 calorie package,18.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip cream flavor onion potato sour,1 small single serving bag,28.0,32.0,55.92,1.36,31.06,58.0,6.51,545.0,20.0,62.4,0.0
chip potato unsalted,1 chip,2.0,18.0,59.66,1.19,30.3,78.0,6.25,7.0,0.0,22.6,0.0
beef gravy potato puerto rican stew,Quantity not specified,116.0,7.0,14.45,0.45,0.93,13.0,2.46,235.0,0.0,4.7,0.0
chicken fricassee potato puerto rican sauce,1 large,247.0,9.0,14.62,0.23,1.02,14.0,1.34,145.0,0.0,4.7,0.0
gravy pot potato puerto rican roast stuff style,1 medium,137.0,7.0,14.45,0.45,0.93,13.0,2.46,235.0,0.0,4.7,0.0
component dish gravy mix potato puerto report rican separately,Quantity not specified,123.0,8.0,19.89,0.31,0.1,20.0,1.7,242.0,0.0,7.4,0.0
pancake potato,1 pancake (frozen),45.0,22.0,20.64,1.3,10.8,26.0,4.47,402.0,29.0,15.6,0.4
patty potato,Quantity not specified,80.0,33.0,13.49,0.75,11.32,13.0,3.89,219.0,64.0,0.5,0.5
egg potato restaurant salad,1 cup,275.0,12.0,15.37,0.44,11.35,19.0,3.04,333.0,21.0,8.8,0.3
dress egg italian make potato salad,1 cup,275.0,15.0,15.81,0.4,4.42,16.0,2.8,212.0,19.0,5.3,0.3
dress egg fat free make potato salad type,Quantity not specified,138.0,15.0,16.0,0.39,1.74,15.0,2.67,205.0,19.0,5.0,0.3
creamy dress egg make potato salad,Quantity not specified,138.0,18.0,14.89,0.4,7.91,16.0,2.93,188.0,21.0,5.3,0.3
dress egg italian light make potato salad,Quantity not specified,138.0,16.0,15.49,0.4,2.35,16.0,2.79,200.0,19.0,5.3,0.3
creamy dress egg light make potato salad,Quantity not specified,138.0,14.0,15.02,0.38,3.46,16.0,2.95,193.0,21.0,5.3,0.3
egg light make mayonnaise potato salad,1 cup,275.0,15.0,15.13,0.39,4.46,16.0,2.72,205.0,20.0,5.0,0.3
dress egg light make mayonnaisetype potato salad salad,Quantity not specified,138.0,15.0,15.13,0.39,4.46,16.0,2.72,205.0,20.0,5.0,0.3
egg make mayonnaise potato salad,1 cup,275.0,15.0,16.18,0.5,9.4,15.0,1.96,329.0,19.0,0.8,0.1
dress egg make mayonnaisetype potato salad salad,1 cup,275.0,15.0,15.91,0.39,4.32,16.0,2.76,179.0,20.0,5.0,0.3
german potato salad style,1 cup,175.0,17.0,17.17,0.89,3.22,24.0,2.92,181.0,2.0,7.8,0.1
potato restaurant salad,Quantity not specified,138.0,7.0,17.32,0.34,11.45,20.0,1.73,361.0,3.0,10.0,0.0
dress italian make potato salad,Quantity not specified,138.0,11.0,17.86,0.29,3.56,17.0,1.44,225.0,1.0,6.1,0.0
dress fat free make potato salad type,Quantity not specified,138.0,10.0,17.94,0.28,0.58,16.0,1.38,215.0,2.0,5.6,0.0
creamy dress make potato salad,1 cup,275.0,13.0,16.8,0.3,7.53,17.0,1.59,197.0,3.0,6.0,0.0
dress italian light make potato salad,1 cup,275.0,11.0,17.49,0.29,1.2,17.0,1.43,210.0,1.0,6.0,0.0
creamy dress light make potato salad,1 cup,275.0,9.0,16.95,0.27,2.47,16.0,1.62,203.0,3.0,6.0,0.0
light make mayonnaise potato salad,Quantity not specified,138.0,10.0,16.98,0.29,3.65,16.0,1.41,215.0,3.0,5.7,0.0
dress light make mayonnaisetype potato salad salad,Quantity not specified,138.0,10.0,16.98,0.29,3.65,16.0,1.41,215.0,3.0,5.7,0.0
make mayonnaise potato salad,Quantity not specified,138.0,10.0,15.81,0.3,11.14,16.0,1.51,179.0,4.0,5.8,0.0
dress make mayonnaisetype potato salad salad,Quantity not specified,138.0,10.0,17.86,0.28,3.49,16.0,1.46,186.0,2.0,5.7,0.0
potato skin top without,Quantity not specified,88.0,11.0,19.53,0.77,7.45,25.0,2.12,363.0,1.0,9.8,0.0
potato skin,Skin from 1 large,50.0,141.0,16.34,0.66,12.4,25.0,6.07,417.0,59.0,8.0,0.1
cheese potato skin,Quantity not specified,113.0,141.0,16.34,0.66,12.4,25.0,6.07,417.0,59.0,8.0,0.1
bacon cheese potato skin,Skin from 1 large,70.0,134.0,15.52,0.67,13.68,25.0,7.64,488.0,57.0,7.5,0.1
flavor potato stick,Quantity not specified,28.0,18.0,52.77,2.25,34.06,63.0,6.63,1010.0,0.0,46.8,0.0
fry potato shape stick,1 small single serving bag,28.0,18.0,52.77,2.25,34.06,63.0,6.63,1010.0,0.0,46.8,0.0
plain potato stick,1 large single serving bag,85.0,18.0,53.3,2.27,34.4,64.0,6.7,633.0,0.0,47.3,0.0
potato tot,Quantity not specified,65.0,13.0,24.4,0.47,15.46,16.0,1.9,421.0,0.0,6.4,0.0
fast food potato restaurant tot,1 cup,130.0,13.0,24.31,0.46,15.4,16.0,1.89,571.0,0.0,6.4,0.0
bake fresh fry potato tot,Quantity not specified,65.0,13.0,24.4,0.47,15.46,16.0,1.9,421.0,0.0,6.4,0.0
bake freeze fry n potato tot,1 cup,130.0,13.0,24.4,0.47,15.46,16.0,1.9,421.0,0.0,6.4,0.0
bake freeze potato tot,1 cup,130.0,14.0,26.1,0.5,9.17,17.0,2.03,451.0,0.0,6.9,0.0
freeze fry potato tot,1 piece,8.0,13.0,24.4,0.47,15.46,16.0,1.9,421.0,0.0,6.4,0.0
potato school tot,Quantity not specified,65.0,9.0,19.34,0.66,9.16,24.0,2.02,147.0,0.0,10.1,0.0
potato,1 baby potato,60.0,5.0,20.45,0.34,4.25,24.0,1.87,166.0,19.0,12.1,0.0
bake potato,1 cup,130.0,5.0,21.45,0.35,0.1,25.0,1.95,181.0,0.0,12.7,0.0
bake eat peel potato,1 small,230.0,15.0,21.05,1.08,0.13,28.0,2.49,186.0,1.0,9.6,0.0
bake butter eat peel potato,1 cup,160.0,15.0,20.01,1.02,4.22,27.0,2.41,203.0,39.0,9.1,0.0
bake cheese eat peel potato,1 large,445.0,77.0,17.43,0.87,7.69,25.0,4.09,225.0,70.0,7.7,0.1
bake chili eat peel potato,1 large,445.0,66.0,17.33,1.09,6.23,26.0,4.85,259.0,54.0,8.0,0.1
bake eat meat peel potato,1 cup,160.0,76.0,17.09,0.87,8.28,25.0,4.74,257.0,68.0,7.5,0.1
