target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
cub ice,,water,True,water,Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,,,,,
water,,water,True,water,Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,,,,,
braid loaf white,,bread toast white,True,bread toast white,1 medium or regular slice,25.0,232.0,54.07,3.69,3.94,30.0,10.36,495.0,0.0,0.0,0.0,,,,,
cheese emmental,,cheese gruyere,True,cheese gruyere,1 package (6 oz),170.0,1011.0,0.36,0.17,32.34,36.0,29.81,714.0,271.0,0.0,0.6,,,,,
caotina hazelnutchocolate ovomaltine spreadnutella,,candy chocolate cover peanut,True,candy chocolate cover peanut,1 cup,160.0,137.0,44.14,2.04,37.66,109.0,14.33,50.0,35.0,0.0,0.0,,,,,
mineral water,,water,True,water,Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,,,,,
bake cheese pastry puff quiche,,cheese pastry puff,True,cheese pastry puff,Quantity not specified,70.0,121.0,13.4,1.38,19.54,13.0,9.3,554.0,212.0,0.0,1.3,,,,,
bread sourdough,,nan,True,,,,,,,,,,,,,,,,,,
hazelnut,,hazelnut,True,hazelnut,1 nut,1.5,114.0,16.7,4.7,60.75,163.0,14.95,0.0,1.0,6.3,0.0,,,,,
bread nut,,bread nut,True,bread nut,Quantity not specified,49.0,161.0,49.66,2.31,20.1,24.0,6.59,336.0,37.0,0.1,0.6,,,,,
miso soup,,nan,True,,,,,,,,,,,,,,,,,,
curry vegetarian,,curry vegetable,True,curry vegetable,Quantity not specified,240.0,21.0,8.81,0.68,5.27,16.0,1.6,388.0,66.0,12.3,0.0,,,,,
basmati rice,,nan,True,,,,,,,,,,,,,,,,,,
bacon fry,,nan,True,,,,,,,,,,,,,,,,,,
butter fat full mash milk potato prepare,,butter eat fresh make peel potato roast,True,butter eat fresh make peel potato roast,1 small,130.0,15.0,20.07,1.03,4.02,27.0,2.41,181.0,37.0,9.1,0.0,,,,,
spinach,,spinach,True,spinach,1 leaf,10.0,68.0,2.41,1.26,0.62,93.0,2.85,111.0,283.0,26.5,0.0,,,,,
bread indien naan,,bread naan,True,bread naan,"1 piece (1/4 of 10"" dia)",44.0,64.0,50.23,1.88,7.28,74.0,11.09,508.0,2.0,0.0,0.0,,,,,
cream spinach,,cream spinach,True,cream spinach,Quantity not specified,100.0,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3,,,,,
halloumi,,nan,True,,,,,,,,,,,,,,,,,,
chicken creamcoconut curry curry milk spicespaste,,nan,True,,,,,,,,,,,,,,,,,,
cream sauce,,cream sauce tomato vodka,True,cream sauce tomato vodka,1 cup,260.0,29.0,3.56,0.58,6.57,10.0,1.15,247.0,60.0,7.8,0.2,,,,,
bread flour french white,,bread french vienna,True,bread french vienna,1 small or thin/very thin slice,32.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,,,,,
tomme,,blue cheese dress fat free roquefort,True,blue cheese dress fat free roquefort,1 packet,44.0,51.0,25.6,0.12,1.01,15.0,1.52,814.0,5.0,0.5,0.0,,,,,
