name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
"Tea, rooibos",recipe_1_person,40.0,34.0,69.7,2.1,0.63,33.0,1.8700000000000003,6.0,0.0,7.0,0.0,13.6,27.88,0.84,0.252,13.2,0.7480000000000001,2.4,0.0,2.8,0.0
"Potatoes au gratin, dauphinois, prepared",recipe_1_person,12.5,141.0,16.34,0.66,12.4,25.0,6.07,417.0,59.0,8.0,0.1,17.625,2.0425,0.0825,1.55,3.125,0.75875,52.125,7.375,1.0,0.0125
"Sauce, mushroom",recipe_1_person,38.75,6.0,8.29,0.19,0.3,8.0,2.4,949.0,0.0,1.5,0.0,2.325,3.212375,0.073625,0.11625,3.1,0.93,367.7375,0.0,0.58125,0.0
Dumplings,recipe_1_person,10.0,1.0,10.36,0.02,0.25,0.0,0.0,3.0,0.0,0.0,0.0,0.1,1.036,0.002,0.025,0.0,0.0,0.3,0.0,0.0,0.0
"Pasta, linguini, parpadelle, Tagliatelle",recipe_1_person,25.0,15.0,76.0,1.2,1.0,22.0,10.0,2.0,0.0,0.0,0.0,3.75,19.0,0.3,0.25,5.5,2.5,0.5,0.0,0.0,0.0
"Bouillon, vegetable",recipe_1_person,46.25,27.0,6.49,0.33,2.59,8.0,0.7,129.0,11.0,4.9,0.0,12.4875,3.001625,0.152625,1.197875,3.7,0.32375,59.6625,5.0875,2.2662500000000003,0.0
"Porridge, prepared, with partially skimmed milk",recipe_1_person,2.5,52.0,67.7,4.25,6.519999999999999,138.0,13.15,6.0,0.0,0.0,0.0,1.3,1.6925,0.10625,0.1629999999999999,3.45,0.32875,0.15,0.0,0.0,0.0
Cream cheese,recipe_1_person,5.0,61.0,3.8,0.0,35.56,6.0,2.02,21.0,327.0,0.6,1.6,3.05,0.19,0.0,1.778,0.3,0.1009999999999999,1.05,16.35,0.03,0.08
Witloof chicory,recipe_1_person,63.75,36.0,9.68,1.5,1.91,29.0,9.92,324.0,10.0,4.6,0.0,22.95,6.171,0.95625,1.217625,18.4875,6.324,206.55,6.375,2.9325,0.0
Bolognaise sauce,recipe_1_person,126.0,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.26,0.0,0.7056,126.0,0.0,0.0,2.52,0.0,0.0,0.0
Apple crumble,recipe_1_person,52.5,14.0,22.7,0.19,3.0800000000000005,6.0,0.32,4.0,29.0,3.9,0.0,7.35,11.9175,0.0997499999999999,1.6170000000000002,3.15,0.168,2.1,15.225,2.0475,0.0
"Tea, spice",recipe_1_person,90.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,1.8,0.0,2.7,0.0,0.0,0.0
Quinoa,recipe_1_person,42.5,17.0,20.22,1.42,5.42,61.0,4.2,184.0,37.0,0.0,0.1,7.225,8.593499999999999,0.6034999999999999,2.3035,25.925,1.785,78.2,15.725,0.0,0.0425
"Shrimp, boiled",recipe_1_person,3.75,72.0,7.34,1.48,0.19,20.0,1.8300000000000003,16.0,50.0,18.8,0.0,2.7,0.27525,0.0555,0.007125,0.75,0.068625,0.6,1.875,0.705,0.0
"Chicken, breast",recipe_1_person,4.25,39.0,14.86,0.84,13.58,29.0,14.62,527.0,7.0,0.5,0.1,1.6575,0.6315500000000001,0.0356999999999999,0.57715,1.2325,0.62135,22.3975,0.2975,0.02125,0.00425
Sour cream,recipe_1_person,60.0,107.0,4.3,0.05,11.5,10.0,3.13,61.0,97.0,0.9,0.0,64.2,2.58,0.03,6.9,6.0,1.878,36.6,58.2,0.54,0.0
Cheese for raclette,recipe_1_person,200.0,248.0,6.0,0.27,9.46,18.0,9.6,102.0,117.0,0.0,0.2,496.0,12.0,0.54,18.92,36.0,19.2,204.0,234.0,0.0,0.4
Couscous,recipe_1_person,3.5,17.0,17.25,0.7299999999999999,13.95,28.0,19.22,769.0,3.0,1.1,0.2,0.595,0.60375,0.0255499999999999,0.4882499999999999,0.98,0.6727,26.915,0.105,0.0385,0.007
Praline,recipe_1_person,1.05,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0105,1.0458,0.000525,0.00336,0.0,0.0,0.0105,0.0,0.0,0.0
Focaccia,recipe_1_person,125.0,95.0,52.7,3.28,4.3,27.0,9.9,544.0,0.0,0.0,0.0,118.75,65.875,4.1,5.375,33.75,12.375,680.0,0.0,0.0,0.0
Spaetzle,recipe_1_person,15.25,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,19.0625,0.736575,0.0,0.32635,1.83,0.507825,5.9475,8.845,0.01525,0.16775
Grissini,recipe_1_person,3.0,30.0,41.22,2.17,7.61,54.0,40.44,51.0,0.0,0.3,0.0,0.9,1.2366,0.0650999999999999,0.2283,1.62,1.2131999999999998,1.53,0.0,0.009,0.0
Fruit tart,recipe_1_person,62.5,15.0,76.0,1.2,1.0,22.0,10.0,2.0,0.0,0.0,0.0,9.375,47.5,0.75,0.625,13.75,6.25,1.25,0.0,0.0,0.0
Biscuit with Butter,recipe_1_person,41.25,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4,8.6625,0.02475,0.02475,33.9075,0.825,0.350625,216.15,312.675,0.0,0.165
"Faux-mage Cashew, vegan chers",recipe_1_person,12.5,45.0,32.69,6.0,46.35,260.0,15.31,16.0,0.0,0.0,0.0,5.625,4.08625,0.75,5.79375,32.5,1.91375,2.0,0.0,0.0,0.0
Hamburger bun,recipe_1_person,15.25,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,19.0625,0.736575,0.0,0.32635,1.83,0.507825,5.9475,8.845,0.01525,0.16775
Oil & vinegar salad dressing,recipe_1_person,52.5,39.0,3.43,0.46,0.21,27.0,1.31,41.0,298.0,11.7,0.0,20.475,1.80075,0.2415,0.11025,14.175,0.6877500000000001,21.525,156.45,6.1425,0.0
Greek salad,recipe_1_person,1.875,72.0,7.34,1.48,0.19,20.0,1.8300000000000003,16.0,50.0,18.8,0.0,1.35,0.137625,0.02775,0.0035625,0.375,0.0343125,0.3,0.9375,0.3525,0.0
Chocolate mousse,recipe_1_person,2.9375,6.0,6.9,0.08,0.24,6.0,0.35,1.0,0.0,38.7,0.0,0.17625,0.2026875,0.00235,0.00705,0.17625,0.0102812499999999,0.029375,0.0,1.1368125,0.0
Müesli,recipe_1_person,25.0,52.0,67.7,4.25,6.52,138.0,13.15,6.0,0.0,0.0,0.0,13.0,16.925,1.0625,1.63,34.5,3.2875,1.5,0.0,0.0,0.0
"Bread, spelt",recipe_1_person,11.25,157.0,53.2,3.92,29.07,24.0,8.83,755.0,0.0,0.0,0.0,17.6625,5.985,0.441,3.270375,2.7,0.993375,84.9375,0.0,0.0,0.0
"Savoy cabbage, steamed, without addition of salt",recipe_1_person,1.3125,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,1.325625,0.375375,0.00945,0.3399375,1.246875,0.42,23.23125,0.0,0.0249374999999999,0.0
"Meat terrine, paté",recipe_1_person,20.0,36.0,9.68,0.12,0.24,12.0,0.8699999999999999,75.0,762.0,4.2,0.0,7.2,1.936,0.024,0.048,2.4,0.174,15.0,152.4,0.84,0.0
Lemon Cake,recipe_1_person,25.0,15.0,76.0,1.2,1.0,22.0,10.0,2.0,0.0,0.0,0.0,3.75,19.0,0.3,0.25,5.5,2.5,0.5,0.0,0.0,0.0
Eggplant caviar,recipe_1_person,10.0,9.0,5.88,0.23,0.18,14.0,0.98,2.0,1.0,2.2,0.0,0.9,0.588,0.023,0.018,1.4,0.098,0.2,0.1,0.22,0.0
"Rice, wild",recipe_1_person,17.5,44.0,36.31,2.86,27.46,17.0,8.96,437.0,269.0,0.0,0.9,7.7,6.35425,0.5005,4.8055,2.975,1.568,76.475,47.075,0.0,0.1575
"Pastry, flaky",recipe_1_person,25.0,15.0,76.0,1.2,1.0,22.0,10.0,2.0,0.0,0.0,0.0,3.75,19.0,0.3,0.25,5.5,2.5,0.5,0.0,0.0,0.0
Gluten-free bread,recipe_1_person,90.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,1.8,0.0,2.7,0.0,0.0,0.0
Wienerli (Swiss sausage),recipe_1_person,25.0,15.0,76.0,1.2,1.0,22.0,10.0,2.0,0.0,0.0,0.0,3.75,19.0,0.3,0.25,5.5,2.5,0.5,0.0,0.0,0.0
Meatloaf,recipe_1_person,187.5,20.0,16.18,1.43,2.77,14.0,9.73,358.0,8.0,1.4,0.1,37.5,30.3375,2.68125,5.19375,26.25,18.24375,671.25,15.0,2.625,0.1875
Cantonese fried rice,recipe_1_person,90.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,1.8,0.0,2.7,0.0,0.0,0.0
"Butter, herb",recipe_1_person,46.25,27.0,41.64,3.04,16.58,23.0,8.34,620.0,13.0,0.2,0.2,12.4875,19.2585,1.406,7.66825,10.6375,3.85725,286.75,6.0125,0.0925,0.0925
Chocolate cookies,recipe_1_person,25.0,157.0,53.2,3.92,29.07,24.0,8.83,755.0,0.0,0.0,0.0,39.25,13.3,0.98,7.2675,6.0,2.2075,188.75,0.0,0.0,0.0
"Lentils green (du Puy, du Berry)",recipe_1_person,3.5,1.0,0.84,0.05,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0294,0.00175,3.4685,0.0,0.0,0.0,0.0,0.0,0.0
Cheesecake,recipe_1_person,10.0,331.0,73.05,10.25,11.1,37.0,7.340000000000001,525.0,5.0,22.9,5.0,33.1,7.305,1.025,1.11,3.7,0.7340000000000001,52.5,0.5,2.29,0.5
"Pasta in butterfly form, farfalle",recipe_1_person,21.25,146.0,35.06,1.45,10.94,22.0,7.52,67.0,81.0,0.0,0.2,31.025,7.45025,0.308125,2.32475,4.675,1.598,14.2375,17.2125,0.0,0.0425
Croque monsieur,recipe_1_person,15.25,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,19.0625,0.736575,0.0,0.32635,1.83,0.507825,5.9475,8.845,0.01525,0.16775
Ice tea,recipe_1_person,7.5,2.0,0.2,0.08,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15,0.015,0.006,0.0,0.075,0.0,0.075,0.075,0.0,0.0
Rice noodles/vermicelli,recipe_1_person,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouquet garni,recipe_1_person,56.25,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,0.5625,4.3875,0.01125,0.106875,0.0,0.0,1.6875,0.0,0.0,0.0
"Pie, apricot, baked, with cake dough",recipe_1_person,3.1500000000000004,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0315,3.1374,0.001575,0.01008,0.0,0.0,0.0315,0.0,0.0,0.0
"Rusk, wholemeal",recipe_1_person,100.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0
"Aperitif, with alcohol, apérol, Spritz",recipe_1_person,62.0,6.0,11.61,0.07,0.57,4.0,0.1,11.0,16.0,0.0,0.0,3.72,7.198199999999999,0.0434,0.3533999999999999,2.48,0.062,6.82,9.92,0.0,0.0
"Sauce, carbonara",recipe_1_person,31.5,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.315,0.0,0.1764,31.5,0.0,0.0,0.63,0.0,0.0,0.0
Veggie burger,recipe_1_person,14.025,54.0,25.19,2.5500000000000003,4.21,40.0,6.5,231.0,0.0,0.0,0.0,7.5735,3.5328975,0.3576375,0.5904525,5.61,0.911625,32.39775,0.0,0.0,0.0
Banana cake,recipe_1_person,50.0,61.0,30.3,4.91,53.03,206.0,12.12,295.0,0.0,0.0,0.0,30.5,15.15,2.455,26.515,103.0,6.06,147.5,0.0,0.0,0.0
"Taboulé, prepared, with couscous",recipe_1_person,3.0,3.0,79.0,0.22,0.3,2.0,0.8000000000000002,80.0,0.0,0.0,0.0,0.09,2.37,0.0066,0.009,0.06,0.024,2.4,0.0,0.0,0.0
Black Forest Tart,recipe_1_person,93.75,8.0,75.14,0.16,0.34,6.0,0.49,1.0,210.0,3.9,0.0,7.5,70.44375,0.15,0.31875,5.625,0.459375,0.9375,196.875,3.65625,0.0
